enrollment,graderange,parentrating,school_type
740.6666666666666,['7-8' 'K-6' '9-12'],3.7777777777777777,['public' 'charter']
663.5,['9-12' '6-8' '1-3' '4-5'],3.0,['public']
441.5,['9-12' 'K-12'],4.5,['public' 'charter']
509.5,['6-8' 'K-5'],4.0,['public']
997.0,['K-6' '9-12' 'K-5' '6-8'],3.7142857142857144,['public']
453.6666666666667,['9-12' '4-8' 'K-3'],4.0,['public']
674.2333333333333,['K-7' '6-8' 'K-5' '9-12' 'K-8' 'K-6' 'K-12'],3.466666666666667,['public']
760.6842105263158,['K-5' '9-12' '6-8' 'K-12' 'PK-5'],3.8947368421052633,['public' 'charter']
786.0,['9-12' '6-8'],3.5,['public']
454.7142857142857,['9-12' '6-8' 'K-6' 'K-8'],4.428571428571429,['public']
1107.4193548387098,['7-8' 'K-6' '9-12' 'K-8' '6-8' 'K-12' 'K-5'],4.064516129032258,['public']
524.5,['K-6' 'PK-6'],4.5,['public']
776.25,['9-12' '6-8' 'K-5'],4.0,['public']
498.0,['K-5'],4.0,['public']
667.6666666666666,['PK-6' 'K-6' '7-8' '7-12' '9-12' '3-6' 'K-12'],3.888888888888889,['public']
818.2307692307693,['K-5' '9-12' 'K-6' '6-8'],3.769230769230769,['public']
397.375,['K-5' '6-8' '9-12' 'K-8'],4.0,['public' 'charter']
1054.8,['K-12' 'K-8' 'K-6'],3.4,['public']
765.3,['K-5' '9-12' '6-8'],4.1,['public']
1364.2222222222222,['K-5' '9-12' '6-8'],3.888888888888889,['public']
1076.75,['K-6' '9-12' '7-8' '7-12'],4.125,['public']
499.64285714285717,['K-4' 'K-6' '6-8' 'K-7' '5-8' '9-12' 'K-5'],4.357142857142857,['public' 'charter']
1507.0,['9-12' 'K-5'],4.0,['public']
929.0769230769231,['6-8' 'K-5' '9-12'],4.076923076923077,['public']
664.2,['K-6' '10-12' '7-9'],4.3,['public']
389.0,['K-6'],5.0,['public']
727.1875,['K-5' '6-8' '9-12' 'K-8' '6-12'],4.1875,['public' 'charter']
948.7142857142857,['K-5' '9-12' '6-8'],3.5714285714285716,['public']
810.3636363636364,['PK-6' 'K-5' '6-8' '9-12' '7-8' 'K-6'],4.363636363636363,['public']
763.6,['9-12' 'K-6' 'K-8' 'K-12' '7-8'],4.4,['public']
618.8333333333334,['K-6' '7-8' '9-12' 'K-8'],3.3333333333333335,['public' 'charter']
84.0,['9-12'],2.0,['public']
555.0,['3-5' '6-8' '9-12'],3.3333333333333335,['public']
1648.625,['9-12' 'K-5' '6-8' 'K-3' '4-5'],3.875,['public']
425.2,['PK-6' 'K-6' '7-8'],3.8,['public']
1009.0,['K-5' '9-12' '6-8'],4.111111111111111,['public']
71.0,['PK-8' '9-12'],4.0,['public']
355.0,['K-5' '6-8' 'K-8'],4.4,['public']
1784.5,['K-6' '7-8' '9-12'],4.166666666666667,['public']
775.1851851851852,['K-5' 'K-8' '6-8' '9-12' 'K-6' '11-12' 'K-12'],4.037037037037037,['public' 'charter']
614.125,['K-6' 'K-8' 'K-9' '7-8' '9-12'],4.5,['charter' 'public']
507.5,['K-6' '7-8'],4.0,['public']
807.1538461538462,['6-8' 'K-5' '7-8' 'K-6' 'K-8' '9-12'],3.5384615384615383,['public']
892.3333333333334,['9-12' '6-8' 'K-5'],4.666666666666667,['public']
1168.2413793103449,['K-6' 'K-8' '9-12' '7-8' '7-12'],4.068965517241379,['public' 'charter']
951.8888888888889,['K-6' '7-8' '9-12'],4.111111111111111,['public']
598.0,['K-5'],4.0,['public']
1008.125,['6-8' 'K-5' 'K-8' '9-12' 'K-12'],3.875,['public' 'charter']
177.0,['K-5'],5.0,['public']
393.6666666666667,['9-12' 'K-12' 'K-5' '6-8' '3-6' 'K-6' 'K-3' '4-6'],4.166666666666667,['public' 'charter']
510.5,['K-5' '6-8'],3.5,['public']
886.1739130434783,['9-12' 'K-5' 'K-8' 'K-6' '7-8' '6-8' '6-12'],3.608695652173913,['public']
526.5,['9-12' '7-8' '4-6' '2-3'],3.75,['public']
247.0,['K-8' '9-12'],4.0,['public']
733.75,['6-8' '9-12' 'K-5'],3.5,['public']
598.5,['9-12' '6-8'],3.0,['public']
789.1333333333333,['K-5' 'K-6' 'K-8' '9-12' '6-8'],4.266666666666667,['public' 'charter']
916.9148936170212,['6-8' 'K-6' 'K-5' '9-12' '7-8'],3.617021276595745,['public']
470.5,['3-5' '9-12'],4.0,['public']
825.0,['9-12'],4.0,['public']
821.25,['K-5' '6-8'],4.0,['public']
1126.2222222222222,['K-6' '9-12' '6-8' 'K-5'],4.111111111111111,['public']
585.3333333333334,['9-12' '3-5' '6-8'],4.333333333333333,['public']
827.5641025641025,['9-12' 'K-6' 'PK-12' '7-8' 'K-12' '7-12' '3-6'],3.948717948717949,['public' 'charter']
796.3070175438596,"['K-6' '7-8' 'K-8' 'PK-8' '5-8' '7-12' '9-12' 'PK-6' '10-12 & ungraded'
 'K-7' '6-8' 'K-5' '2-6' 'K-12']",3.8333333333333335,['public' 'charter']
890.9166666666666,['K-6' 'K-8' '7-8' '9-12'],3.875,['public']
686.1666666666666,['9-12' 'K-6' '7-8'],3.6666666666666665,['public']
746.3125,['K-6' '7-8' '9-12' 'K-5'],3.9583333333333335,['public']
713.75,['K-5' '6-8' '9-12'],3.5833333333333335,['public' 'charter']
766.0666666666667,['K-5' '6-8' '10-12 & ungraded' '9-12' 'K-8'],3.8666666666666667,['public' 'charter']
956.2142857142857,['K-6' 'K-5' '6-8' '9-12'],4.071428571428571,['public']
844.3333333333334,['K-5' '9-12' '6-8' 'K-12' 'K-6'],4.222222222222222,['public']
925.25,['9-12' '7-8' 'K-6' 'K-8'],4.0,['public' 'charter']
811.3333333333334,['5-8' '9-12' 'K-4'],3.0,['public']
451.2142857142857,['K-5' '9-12' 'K-8' '5-8' '6-8' 'K-4' 'K-6'],4.285714285714286,['public' 'charter']
853.25,['K-5' '9-12' 'PK-5'],2.75,['public']
496.25,['9-12' 'K-8' '6-8' '2-5'],3.75,['public']
483.0,['K-6' 'PK-6'],4.0,['public']
641.0,['6-8' 'K-5'],4.0,['public']
532.3333333333334,['K-5' '9-12' '6-8'],3.0,['public']
729.0,['K-5' '9-12' '6-8'],4.0,['public']
636.1111111111111,['K-5' 'K-6' '9-12' '7-8' 'K-8' '6-8'],4.166666666666667,['charter' 'public']
757.8,"['K-5' '8, 10-12' 'K-8' 'K-12' '9-12' '6-8']",4.2,['public' 'charter']
618.2142857142857,['7-8' 'K-6' 'K-5' '9-12' 'K-8' '6-12'],3.6785714285714284,['public' 'charter']
319.1666666666667,['K-6' 'K-5' '9-12' '6-8'],4.0,['public' 'charter']
993.6666666666666,['K-5' '6-8' 'K-8' '9-12' '6-11'],3.8666666666666667,['public' 'charter']
442.0,['K-5'],3.5,['public']
738.0,['4-8' 'K-3'],4.5,['public']
769.9,['9-12' 'K-6' '7-8' '7-12' 'K-8' 'PK-6' 'K-12'],3.9,['public' 'charter']
728.5,['K-5' '6-8' 'K-6' '7-8'],3.875,['public']
384.0,['6-8' 'K-5'],4.0,['public']
785.4,['4-8' 'K-8' 'K-5' 'K-7' '6-8' '9-12'],3.9,['public']
541.0,['9-12'],2.0,['public']
466.25,['6-8' '4-5' 'K-3' '9-12'],3.5,['public']
931.72,['K-5' '9-12' '6-8' 'K-6'],4.04,['public']
889.2,['9-12' 'K-6' '6-12' '6-8' 'K-5'],3.933333333333333,['charter' 'public']
604.0,['K-5' '6-8'],4.0,['public']
974.0,['K-5' '9-12'],4.333333333333333,['public']
1052.3333333333333,['K-6' 'K-8' '9-12'],3.6666666666666665,['public' 'charter']
982.4,['K-5' '6-8' 'K-6' '9-12'],4.6,['public']
478.6190476190476,['9-12' 'K-6' '6-8' '10-12' 'PK-5' '7-9' '6-7' 'K-5'],3.6666666666666665,['charter' 'public']
440.0,['K-6'],4.0,['public']
968.8648648648649,['K-6' 'K-12' '9-12' 'PK-5' '7-8' 'K-8' 'PK-8' 'PK-6'],4.0,['public']
165.0,['K-6'],3.0,['public']
420.75,['9-12' '6-8' 'K-6'],3.25,['public']
874.9444444444445,['K-6' '7-8' '9-12'],3.7777777777777777,['public']
657.5,['6-8' 'K-5'],4.25,['public']
642.2,['K-8' '9-12' '2-3' '7-8' '4-6'],4.0,['public' 'charter']
1014.4285714285714,['K-6' '9-12' '3-5' '6-8'],3.857142857142857,['public']
912.1538461538462,['K-5' '9-12' 'K-6' 'K-12' '7-8' 'PK-8'],3.923076923076923,['public' 'charter']
721.4444444444445,['6-8' 'K-5' 'PK-5' '9-12'],3.888888888888889,['public']
1140.5,['K-6' '9-12' '7-8'],3.5,['public']
703.4,['9-12' 'K-5' 'K-8' 'K-6'],3.6,['public']
614.0,['PK-5' '6-8'],3.0,['public']
926.0,['9-12' 'K-5'],4.0,['public']
820.1666666666666,['9-12' 'K-5' '6-8'],4.166666666666667,['public']
799.6666666666666,['K-5' '9-12' '6-8'],4.0,['public']
843.0,['9-12' 'K-6'],4.0,['public']
678.7142857142857,['K-8' 'K-5' '6-8'],4.142857142857143,['charter' 'public']
981.7333333333333,['6-8' 'K-5' 'K-8' '9-12' 'PK-12'],3.533333333333333,['public' 'charter']
985.8571428571429,['9-12' 'K-6' '7-8'],3.857142857142857,['public']
489.6666666666667,['9-12' 'K-3' '4-8'],3.0,['public']
1086.75,['9-12' 'K-5' 'K-8' '6-8' 'PK-5'],3.875,['public']
873.8571428571429,['6-8' '9-12' 'K-6' 'K-5' '7-8' 'PK-6' '4-8' 'K-8' 'K-7'],3.357142857142857,['public' 'charter']
811.0,['6-8' '9-12'],4.333333333333333,['public']
1004.25,['K-8' '9-12'],3.25,['public']
873.1666666666666,['K-5' '9-12' '6-8'],4.333333333333333,['public' 'charter']
483.3333333333333,['PK-6' 'PK-8'],4.0,['public']
650.7777777777778,['K-6' 'K-8' '9-12' '5-8' '7-8'],4.222222222222222,['public' 'charter']
787.1666666666666,['K-5' '6-8' 'K-12'],3.8333333333333335,['public' 'charter']
740.3333333333334,['K-8' '9-12' 'PK-8'],3.6666666666666665,['public']
532.3333333333334,['9-12' '5-8' 'K-4'],3.6666666666666665,['public']
825.8666666666667,['K-5' '6-8' '9-12' 'K-8' 'PK-5'],4.2,['public']
745.0,['K-5' '9-12' '6-8'],4.0,['public']
725.4117647058823,['PK-6' 'K-6' 'K-8' '9-12' '7-8' 'K-12'],3.9411764705882355,['public' 'charter']
681.0,['K-5'],4.0,['public']
1017.3333333333334,['6-8' 'K-5'],3.3333333333333335,['public']
735.9090909090909,['K-6' '9-12' '7-8'],4.0,['public']
