CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
East Los Angeles,city,All Homes,"$439,700",0.7%,2.2%,8.5%,10.8%,1.6%,6.9%,--0.3%,1.9%,5.7%,---,---,---,---,---,---,---,---,$356,0.6%,2.0%,8.9%,---,---,---,---,"$427,000",--0.5%,0.1%,10.9%,"$417,500",2.3%,--1.9%,8.2%,87.9%,1.3%,--2.6%,--9.7%,---,---,---,---,9.5%,0.0%,2.7%,3.9%,2.5%,--0.4%,--0.4%,--11.4%,$422,1.5%,11.4%,16.1%,---,---,---,---,---,---,---,---,1.964,--1.0%,0.4%,1.2%,"$2,267",--0.0%,--0.1%,4.8%,$2.10,0.0%,0.1%,5.0%
East Palo Alto,city,All Homes,"$929,900",1.8%,6.9%,20.9%,22.0%,5.3%,1.8%,--0.3%,0.3%,1.0%,---,---,---,---,---,---,---,---,$806,2.2%,7.8%,23.2%,---,---,---,---,---,---,---,---,---,---,---,---,97.9%,0.1%,0.0%,--0.9%,---,---,---,---,---,---,---,---,2.8%,1.7%,7.3%,--34.3%,---,---,---,---,---,---,---,---,---,---,---,---,1.992,---,---,---,"$3,632",1.2%,2.4%,5.3%,$3.16,1.2%,2.4%,5.5%
Eastvale,city,All Homes,"$579,400",0.3%,1.6%,9.9%,8.1%,2.9%,2.3%,--0.1%,--0.2%,1.2%,---,---,---,---,9.6%,0.1%,3.7%,3.7%,$192,0.5%,2.1%,9.7%,1.6%,--0.2%,0.0%,0.0%,"$569,900",--2.4%,--0.9%,8.1%,---,---,---,---,95.3%,0.8%,1.3%,--0.8%,---,---,---,---,4.4%,--0.7%,--1.1%,--0.2%,4.2%,--4.2%,--6.4%,--8.3%,$200,1.4%,3.0%,7.6%,"$2,650",1.9%,3.9%,0.0%,$0.88,2.1%,--2.0%,3.0%,---,---,---,---,"$2,870",0.5%,2.7%,8.9%,$0.95,0.4%,2.6%,7.7%
El Cajon,city,All Homes,"$506,300",0.6%,2.5%,8.8%,8.0%,2.5%,4.1%,--0.7%,--3.1%,0.0%,---,---,---,---,23.9%,5.0%,9.2%,13.8%,$307,0.7%,2.3%,8.9%,2.2%,0.0%,0.2%,--1.0%,"$499,000",0.0%,0.6%,6.4%,"$459,100",--1.8%,--2.8%,5.9%,93.0%,1.4%,7.1%,1.5%,---,---,---,---,2.7%,0.8%,--0.8%,--3.1%,4.5%,1.7%,0.1%,--8.6%,$309,1.1%,2.7%,8.6%,"$1,850",--5.0%,--11.7%,--3.1%,$1.67,2.1%,2.7%,5.4%,0.431,0.1%,--0.4%,--0.3%,"$2,457",0.0%,--0.0%,4.5%,$1.57,0.1%,0.3%,5.2%
El Centro,city,All Homes,"$201,500",0.7%,2.4%,6.2%,9.2%,0.7%,50.7%,--2.0%,18.9%,41.1%,---,---,---,---,20.6%,7.0%,10.3%,7.6%,---,---,---,---,---,---,---,---,"$235,000",--3.7%,--11.1%,5.4%,---,---,---,---,42.8%,3.7%,--16.6%,--41.7%,---,---,---,---,6.9%,--1.5%,--6.7%,--0.1%,3.9%,--4.2%,--3.5%,--4.9%,---,---,---,---,---,---,---,---,---,---,---,---,0.739,--0.6%,--0.7%,--2.0%,"$1,268",--0.4%,2.0%,11.3%,$0.87,--0.7%,0.2%,4.6%
El Cerrito,city,All Homes,"$915,700",0.8%,2.3%,7.9%,12.0%,5.3%,11.3%,--2.9%,--5.0%,7.9%,---,---,---,---,---,---,---,---,$586,1.0%,2.4%,8.7%,---,---,---,---,"$865,000",1.9%,1.2%,8.3%,"$919,500",4.6%,6.7%,3.8%,82.3%,3.4%,5.2%,--10.7%,---,---,---,---,---,---,---,---,2.7%,3.1%,5.9%,--14.3%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,163",--0.9%,--2.7%,--0.8%,$2.10,--0.5%,--1.8%,1.3%
El Dorado Hills,city,All Homes,"$645,000",0.6%,2.3%,7.7%,6.5%,2.0%,18.9%,0.9%,2.0%,15.2%,---,---,---,---,10.9%,0.8%,5.6%,--3.5%,$248,0.4%,2.5%,7.4%,3.1%,1.2%,0.6%,1.4%,"$724,900",3.6%,7.4%,11.7%,---,---,---,---,68.4%,--0.4%,--2.6%,--24.7%,---,---,---,---,2.4%,--0.3%,--2.8%,1.7%,5.4%,0.0%,1.0%,--23.4%,$242,1.5%,6.3%,4.2%,---,---,---,---,---,---,---,---,0.404,--0.4%,--0.2%,--0.4%,"$2,765",--0.1%,--0.5%,1.4%,$1.06,--0.2%,--0.2%,2.5%
El Monte,city,All Homes,"$505,700",0.8%,3.2%,9.6%,8.5%,2.5%,3.5%,--0.1%,--0.4%,0.3%,---,---,---,---,6.8%,--5.2%,2.9%,3.4%,$364,0.6%,3.4%,12.0%,---,---,---,---,"$529,000",0.0%,5.8%,15.6%,"$517,500",3.3%,4.8%,10.6%,94.0%,0.3%,1.0%,0.8%,---,---,---,---,3.8%,--1.9%,--9.2%,--6.6%,2.0%,2.0%,4.0%,--19.4%,$358,4.5%,--1.0%,14.3%,---,---,---,---,---,---,---,---,1.724,--0.6%,--0.1%,0.8%,"$2,350",0.1%,0.0%,4.1%,$1.80,0.2%,0.8%,5.1%
El Segundo,city,All Homes,"$1,256,700",0.8%,3.3%,8.0%,10.3%,5.5%,16.4%,--0.2%,--3.1%,11.2%,---,---,---,---,---,---,---,---,$703,0.7%,2.9%,7.2%,---,---,---,---,---,---,---,---,"$1,392,600",7.1%,30.1%,74.5%,76.8%,--0.5%,3.3%,--11.8%,---,---,---,---,---,---,---,---,2.6%,--2.0%,--5.8%,--28.1%,$746,1.0%,5.4%,27.9%,---,---,---,---,---,---,---,---,---,---,---,---,"$4,051",0.5%,0.2%,--0.7%,$2.50,0.4%,0.0%,--1.5%
El Sobrante,city,All Homes,"$512,300",1.6%,2.9%,5.2%,13.9%,2.0%,10.5%,--10.0%,--17.7%,6.1%,---,---,---,---,---,---,---,---,$353,1.4%,3.2%,6.0%,---,---,---,---,"$535,000",--2.7%,10.3%,11.5%,---,---,---,---,83.7%,14.7%,24.3%,--8.6%,---,---,---,---,---,---,---,---,3.3%,0.0%,0.8%,--12.5%,$339,0.9%,0.2%,22.4%,---,---,---,---,---,---,---,---,2.112,---,---,---,"$2,635",0.4%,1.5%,6.9%,$1.87,0.1%,1.3%,7.6%
Elk Grove,city,All Homes,"$430,400",0.2%,2.3%,9.4%,10.3%,3.5%,4.7%,1.4%,--1.2%,1.5%,---,---,---,---,9.5%,--0.5%,1.5%,4.4%,$214,0.0%,1.9%,9.2%,2.2%,--0.2%,0.0%,--0.0%,"$430,000",0.0%,2.4%,10.3%,"$416,700",1.0%,2.4%,4.7%,90.7%,--3.9%,1.3%,--3.5%,---,---,---,---,3.9%,0.3%,--0.5%,--2.5%,4.7%,--1.7%,--1.8%,--14.2%,$214,1.5%,2.4%,8.6%,"$1,900",0.8%,--0.3%,5.6%,$1.00,--2.5%,--1.8%,4.3%,0.757,0.3%,0.5%,0.1%,"$1,989",0.2%,0.9%,8.6%,$1.01,0.2%,0.6%,7.9%
Emeryville,city,All Homes,"$587,300",0.4%,5.0%,16.0%,16.1%,4.9%,6.8%,--8.2%,--7.5%,0.4%,---,---,---,---,---,---,---,---,$682,1.2%,5.2%,15.0%,---,---,---,---,---,---,---,---,---,---,---,---,89.1%,11.0%,11.4%,--1.6%,---,---,---,---,---,---,---,---,3.9%,--7.8%,--7.2%,--20.2%,---,---,---,---,"$2,750",--4.3%,--11.3%,7.8%,$3.31,1.7%,14.2%,7.8%,---,---,---,---,"$2,637",0.8%,1.9%,0.2%,$3.20,0.3%,0.4%,0.1%
Encinitas,city,All Homes,"$1,011,200",0.5%,2.4%,6.2%,7.4%,4.1%,12.6%,--4.1%,--11.2%,--7.3%,---,---,---,---,17.5%,6.3%,9.7%,2.2%,$565,0.7%,2.7%,6.8%,3.2%,0.2%,0.9%,--0.8%,"$1,450,000",--3.3%,--3.3%,11.5%,"$984,400",2.5%,4.4%,7.4%,82.9%,4.6%,14.7%,10.8%,---,---,---,---,1.3%,0.3%,--0.2%,---,3.7%,--0.7%,--4.2%,--11.8%,$536,--2.3%,1.2%,0.0%,"$3,700",5.7%,--1.3%,3.6%,$2.38,--5.5%,--6.7%,4.0%,0.368,--0.3%,---,--0.0%,"$3,644",0.2%,0.6%,3.4%,$2.20,0.1%,0.7%,4.1%
Escalon,city,All Homes,"$398,700",0.2%,1.0%,10.6%,12.8%,4.0%,4.7%,--0.7%,2.5%,3.3%,---,---,---,---,---,---,---,---,$230,0.0%,0.9%,10.0%,---,---,---,---,"$399,500",--4.8%,--0.1%,--2.3%,---,---,---,---,89.6%,0.7%,--6.4%,--7.8%,---,---,---,---,---,---,---,---,4.9%,--3.5%,1.9%,--0.9%,$232,--7.1%,--4.0%,5.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,713",--0.1%,0.6%,6.5%,$1.06,--0.4%,--0.2%,6.2%
Escondido,city,All Homes,"$512,500",0.5%,2.2%,7.7%,8.2%,2.5%,3.4%,--0.4%,--4.4%,--1.2%,---,---,---,---,13.8%,0.5%,2.4%,3.3%,$301,0.3%,2.4%,8.3%,2.0%,--0.7%,--0.4%,--0.3%,"$600,000",0.1%,4.5%,9.1%,"$510,100",1.6%,3.9%,11.0%,93.7%,1.7%,9.9%,2.8%,---,---,---,---,3.4%,--0.7%,0.8%,--0.4%,5.3%,1.6%,4.4%,0.8%,$301,1.6%,2.4%,8.3%,"$2,200",3.7%,2.3%,0.0%,$1.56,0.9%,--1.2%,4.7%,0.836,0.4%,--0.4%,--0.8%,"$2,413",0.0%,0.5%,3.4%,$1.54,0.4%,0.8%,4.1%
Eureka,city,All Homes,"$250,000",0.8%,2.2%,4.7%,5.6%,0.8%,15.6%,1.3%,6.1%,--4.0%,---,---,---,---,23.9%,3.3%,10.2%,9.0%,$198,0.5%,1.5%,7.0%,3.3%,--0.3%,0.0%,0.1%,"$319,000",3.1%,0.0%,6.7%,---,---,---,---,79.8%,--1.3%,--6.6%,5.9%,---,---,---,---,4.3%,--2.7%,--4.4%,--2.2%,3.7%,--3.5%,--8.9%,--20.4%,$197,0.7%,1.3%,9.4%,---,---,---,---,---,---,---,---,0.419,---,--0.8%,--1.0%,"$1,324",1.9%,--0.5%,--11.2%,$0.88,1.6%,--2.0%,--13.7%
Exeter,city,All Homes,"$216,300",0.8%,2.8%,7.2%,7.1%,0.9%,18.3%,4.8%,1.5%,10.3%,---,---,---,---,---,---,---,---,$144,0.0%,1.4%,5.1%,---,---,---,---,---,---,---,---,---,---,---,---,74.2%,--7.1%,--1.8%,--12.8%,---,---,---,---,7.0%,1.8%,--6.9%,2.2%,5.1%,--1.9%,5.2%,4.1%,$163,3.9%,10.8%,9.1%,---,---,---,---,---,---,---,---,4.23,--3.9%,1.5%,---,"$1,251",0.1%,0.2%,1.6%,$0.87,0.0%,0.7%,3.3%
Fair Oaks,city,All Homes,"$440,200",0.0%,1.7%,5.6%,8.7%,2.8%,14.9%,4.4%,--1.7%,8.4%,---,---,---,---,12.4%,4.2%,4.7%,--1.2%,$238,0.0%,1.7%,6.3%,2.7%,--0.3%,1.0%,0.3%,"$489,000",--1.8%,2.8%,--0.2%,"$432,600",1.1%,2.4%,11.3%,76.7%,--7.0%,1.6%,--12.0%,---,---,---,---,3.1%,--1.4%,--0.3%,0.1%,4.5%,1.0%,2.5%,--10.4%,$249,5.1%,7.3%,17.7%,"$1,900",0.0%,0.3%,8.6%,$1.22,--5.8%,4.6%,10.7%,0.383,---,--0.1%,--1.0%,"$1,979",0.0%,0.8%,6.1%,$1.14,0.2%,0.7%,6.0%
Fairfax,city,All Homes,"$894,500",--0.2%,--1.4%,--2.6%,6.7%,2.1%,50.5%,--4.3%,18.4%,45.6%,---,---,---,---,---,---,---,---,$592,--0.3%,--1.0%,--0.8%,---,---,---,---,---,---,---,---,---,---,---,---,39.6%,4.3%,--14.8%,--51.2%,---,---,---,---,---,---,---,---,3.0%,--3.4%,10.4%,--24.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,898",0.5%,0.5%,5.3%,$2.58,0.3%,0.0%,5.7%
Fairfield,city,All Homes,"$445,400",0.8%,2.3%,6.5%,12.3%,2.5%,4.3%,--0.1%,--0.7%,--0.1%,---,---,---,---,12.0%,0.7%,0.4%,2.6%,$251,0.8%,2.9%,8.2%,2.5%,--0.5%,0.5%,0.3%,"$494,900",0.0%,5.3%,15.4%,---,---,---,---,92.2%,0.2%,1.1%,--0.2%,---,---,---,---,6.5%,--1.1%,--0.4%,--1.0%,5.1%,--0.2%,0.6%,--1.0%,$245,--1.5%,0.3%,5.4%,"$2,250",2.5%,7.1%,18.4%,$1.31,1.7%,0.2%,6.4%,1.444,--0.2%,0.3%,--0.4%,"$2,198",0.3%,0.6%,4.2%,$1.29,0.3%,0.9%,5.0%
Fallbrook,city,All Homes,"$575,300",0.5%,2.3%,9.9%,8.0%,1.8%,7.2%,--1.5%,--7.8%,--0.3%,---,---,---,---,14.3%,2.3%,4.4%,--0.6%,$277,0.7%,2.2%,7.8%,2.2%,--0.1%,--0.7%,--0.8%,"$675,000",2.3%,0.3%,3.9%,---,---,---,---,89.1%,2.5%,12.9%,3.9%,---,---,---,---,3.6%,1.9%,1.5%,--0.7%,5.6%,0.7%,3.2%,--9.8%,$274,0.2%,1.0%,1.0%,"$2,670",0.9%,12.1%,16.3%,---,---,---,---,0.805,--0.2%,--0.0%,--1.8%,"$2,646",0.8%,1.9%,6.4%,$1.29,0.3%,1.3%,6.4%
Farmersville,city,All Homes,"$163,900",1.2%,2.5%,10.9%,10.5%,--0.1%,5.9%,2.8%,0.9%,4.1%,---,---,---,---,---,---,---,---,$139,0.0%,1.5%,9.4%,---,---,---,---,---,---,---,---,---,---,---,---,88.7%,--4.8%,--1.8%,--7.7%,---,---,---,---,---,---,---,---,2.4%,--3.8%,--1.9%,4.1%,---,---,---,---,---,---,---,---,---,---,---,---,3.808,---,---,---,"$1,045",0.2%,0.6%,4.8%,$0.91,0.4%,2.0%,4.8%
Fillmore,city,All Homes,"$433,500",0.6%,2.8%,7.9%,9.8%,1.0%,8.9%,0.5%,0.2%,3.5%,---,---,---,---,---,---,---,---,$296,0.7%,3.1%,8.4%,---,---,---,---,"$486,600",3.5%,7.0%,10.8%,---,---,---,---,84.9%,--2.1%,2.4%,--5.3%,---,---,---,---,---,---,---,---,3.8%,0.0%,2.3%,--15.7%,$262,0.9%,0.6%,7.1%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,347",--0.1%,0.1%,1.0%,$1.62,0.1%,0.4%,1.6%
Firebaugh,city,All Homes,"$171,200",--0.1%,--0.4%,5.8%,11.1%,--1.4%,19.1%,--3.8%,--0.5%,13.5%,---,---,---,---,---,---,---,---,$140,0.7%,2.2%,3.7%,---,---,---,---,---,---,---,---,---,---,---,---,73.4%,4.1%,--2.6%,--16.2%,---,---,---,---,---,---,---,---,2.3%,21.4%,47.8%,6.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,228",--0.2%,--0.1%,3.9%,$0.96,0.2%,0.6%,4.8%
Florence-Graham,city,All Homes,"$360,800",0.7%,3.1%,12.4%,13.2%,0.2%,2.3%,--0.7%,0.2%,1.1%,---,---,---,---,---,---,---,---,$310,0.6%,2.3%,11.5%,---,---,---,---,"$363,000",--1.8%,3.7%,9.3%,"$389,900",1.4%,13.3%,17.1%,95.8%,0.8%,--0.7%,--2.5%,---,---,---,---,7.1%,2.0%,--0.8%,--7.9%,3.2%,--0.7%,--0.7%,--8.1%,$336,0.0%,11.7%,10.9%,---,---,---,---,---,---,---,---,2.079,0.4%,--0.1%,---,"$2,306",--0.1%,0.7%,6.8%,$2.25,--0.2%,0.4%,6.4%
Florin,city,All Homes,"$262,500",0.1%,2.3%,9.4%,13.7%,2.6%,9.7%,4.2%,3.8%,7.2%,---,---,---,---,---,---,---,---,$189,0.0%,2.2%,11.2%,---,---,---,---,"$265,000",--1.1%,2.0%,3.9%,"$249,600",--0.9%,0.9%,11.0%,83.7%,--7.5%,--6.0%,--12.3%,---,---,---,---,4.1%,2.0%,--1.7%,--10.6%,5.2%,2.1%,0.3%,2.5%,$190,--0.6%,1.1%,2.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,544",0.1%,0.4%,9.0%,$1.17,0.2%,0.3%,8.0%
Folsom,city,All Homes,"$536,800",0.0%,1.4%,6.2%,6.5%,3.7%,15.5%,5.6%,--4.5%,12.4%,---,---,---,---,13.9%,5.4%,7.3%,4.2%,$264,0.0%,1.5%,5.6%,1.5%,--1.1%,--0.1%,0.0%,"$565,000",2.7%,7.6%,10.9%,"$520,500",1.4%,2.5%,9.5%,71.1%,--9.7%,5.0%,--23.0%,---,---,---,---,1.4%,--1.4%,--0.2%,--1.1%,4.6%,--3.7%,--6.0%,--17.6%,$259,--0.2%,0.8%,3.7%,"$2,250",2.7%,2.5%,2.3%,$1.29,2.1%,3.5%,8.1%,0.776,0.4%,0.2%,--0.0%,"$2,259",0.0%,0.4%,1.9%,$1.17,--0.2%,0.0%,3.2%
Fontana,city,All Homes,"$378,400",0.6%,2.6%,8.5%,10.4%,1.6%,3.0%,--0.1%,--0.1%,--0.6%,---,---,---,---,7.8%,0.0%,2.4%,0.9%,$232,0.4%,1.8%,7.4%,2.0%,0.2%,--0.3%,--0.8%,"$399,900",0.5%,3.9%,11.1%,"$393,400",2.2%,2.6%,5.6%,94.3%,0.5%,2.2%,2.9%,---,---,---,---,5.5%,--1.0%,--1.5%,--4.0%,4.1%,--1.6%,--1.9%,--3.8%,$224,1.0%,2.0%,7.4%,"$2,230",1.1%,3.5%,1.3%,$1.11,1.4%,--1.5%,3.7%,1.732,0.1%,1.0%,0.3%,"$1,996",0.5%,1.2%,6.8%,$1.24,0.5%,1.3%,5.3%
Fort Bragg,city,All Homes,"$363,900",0.3%,0.4%,5.8%,8.6%,1.2%,27.8%,0.8%,--1.5%,7.4%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$495,000",4.3%,7.6%,10.0%,---,---,---,---,65.8%,--0.8%,1.7%,--9.7%,---,---,---,---,---,---,---,---,3.3%,--2.9%,3.8%,--2.2%,---,---,---,---,---,---,---,---,---,---,---,---,1.337,---,---,---,---,---,---,---,---,---,---,---
Fortuna,city,All Homes,"$270,700",--0.2%,0.6%,3.1%,6.3%,0.7%,14.1%,0.3%,5.9%,--0.1%,---,---,---,---,---,---,---,---,$199,0.5%,2.1%,5.9%,---,---,---,---,---,---,---,---,---,---,---,---,80.6%,--0.8%,--7.9%,--0.4%,---,---,---,---,---,---,---,---,3.6%,--8.0%,--8.0%,--22.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,355",2.5%,0.0%,--13.0%,$0.86,2.4%,--1.6%,--14.8%
Foster City,city,All Homes,"$1,681,600",1.0%,4.2%,18.4%,12.8%,7.0%,0.8%,--0.3%,--0.2%,--24.7%,---,---,---,---,---,---,---,---,$911,1.2%,4.6%,17.7%,---,---,---,---,---,---,---,---,---,---,---,---,98.9%,0.4%,0.6%,38.7%,---,---,---,---,---,---,---,---,2.9%,--3.5%,--2.0%,--12.2%,---,---,---,---,"$4,300",3.6%,2.4%,3.6%,$2.63,2.9%,4.5%,--0.6%,---,---,---,---,"$4,457",--0.7%,--2.5%,--0.4%,$2.56,--0.1%,0.1%,1.4%
Fountain Valley,city,All Homes,"$799,600",0.3%,1.7%,7.3%,5.6%,3.2%,5.1%,--1.4%,--2.0%,--5.0%,---,---,---,---,15.3%,5.8%,6.2%,7.6%,$409,0.2%,1.7%,6.8%,---,---,---,---,"$768,900",--1.4%,3.9%,5.5%,---,---,---,---,90.5%,2.3%,4.3%,10.3%,---,---,---,---,1.0%,--1.0%,--1.2%,--1.6%,2.9%,--3.4%,0.7%,--3.2%,$422,2.1%,3.9%,8.3%,"$3,200",6.5%,6.7%,6.5%,$1.77,--1.9%,--3.0%,4.3%,0.663,0.1%,---,---,"$3,252",0.2%,0.7%,3.3%,$1.81,0.3%,0.8%,3.4%
Fremont,city,All Homes,"$1,063,900",1.1%,4.7%,13.6%,12.2%,6.3%,1.4%,--2.2%,--2.0%,--7.7%,---,---,---,---,1.3%,1.0%,--1.0%,--4.6%,$687,0.9%,4.2%,12.8%,---,---,---,---,"$1,000,000",1.2%,1.8%,11.1%,---,---,---,---,97.5%,4.3%,4.2%,13.4%,---,---,---,---,2.5%,0.7%,0.6%,--0.8%,3.1%,--6.1%,--6.2%,--16.1%,$642,3.3%,5.6%,9.2%,"$3,200",0.0%,4.7%,4.9%,$2.24,2.5%,2.2%,5.8%,0.181,--0.2%,--0.1%,---,"$3,217",0.1%,0.2%,1.8%,$2.21,--0.1%,--0.1%,1.7%
Fresno,city,All Homes,"$228,400",0.2%,1.9%,8.3%,9.3%,0.7%,7.7%,0.6%,--0.1%,2.7%,---,---,---,---,14.5%,2.0%,3.1%,1.3%,$146,0.7%,2.8%,9.0%,2.7%,0.1%,--0.0%,--0.2%,"$265,000",2.3%,--0.7%,15.2%,"$236,300",0.1%,--2.0%,6.9%,88.3%,--1.2%,0.5%,--3.5%,---,---,---,---,6.1%,--0.6%,--0.8%,--3.3%,4.6%,1.8%,1.0%,--7.6%,$156,1.1%,2.2%,10.3%,"$1,340",2.9%,7.0%,11.5%,$0.94,3.5%,3.8%,6.6%,2.327,0.0%,0.1%,0.3%,"$1,326",0.9%,2.5%,5.8%,$0.88,0.2%,0.5%,5.5%
Fullerton,city,All Homes,"$641,800",0.5%,1.8%,6.7%,7.6%,2.5%,6.2%,--1.4%,--4.7%,--4.0%,---,---,---,---,13.0%,0.7%,4.8%,1.2%,$388,0.3%,1.8%,6.9%,2.4%,--0.6%,--0.7%,--0.7%,"$661,000",--0.8%,0.6%,4.3%,---,---,---,---,89.5%,3.3%,9.9%,10.5%,---,---,---,---,4.4%,1.8%,1.9%,3.4%,3.8%,--1.6%,--3.4%,--12.1%,$392,2.5%,3.9%,6.9%,"$2,700",3.8%,3.8%,8.0%,$1.69,--2.8%,--0.6%,--2.0%,0.376,--0.4%,--0.4%,0.1%,"$2,852",0.1%,0.5%,2.9%,$1.88,0.1%,0.3%,3.3%
Galt,city,All Homes,"$361,500",0.3%,3.5%,13.2%,13.0%,3.1%,11.1%,1.5%,--2.1%,9.5%,---,---,---,---,---,---,---,---,$226,0.0%,1.8%,8.7%,---,---,---,---,"$380,000",8.9%,8.6%,10.9%,"$340,400",2.0%,4.1%,--1.8%,83.3%,--4.0%,1.4%,--13.8%,---,---,---,---,2.9%,1.3%,--6.4%,--0.8%,4.9%,--1.3%,--0.8%,--9.9%,$220,1.2%,1.0%,3.4%,---,---,---,---,---,---,---,---,1.405,--1.0%,0.0%,--0.3%,"$1,713",0.2%,0.3%,6.9%,$1.15,--0.2%,0.0%,8.1%
Garden Acres,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.9%,4.6%,0.0%,--43.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,225",1.2%,2.4%,8.5%,$1.17,1.4%,2.6%,10.4%
Garden Grove,city,All Homes,"$595,000",0.4%,1.8%,8.0%,7.9%,2.4%,4.8%,--3.6%,--7.4%,1.7%,---,---,---,---,9.7%,4.3%,3.5%,0.2%,$397,0.5%,2.1%,8.5%,1.6%,0.0%,--0.2%,--0.2%,"$600,000",0.2%,1.7%,7.1%,---,---,---,---,89.7%,7.5%,15.3%,--3.3%,---,---,---,---,3.3%,1.5%,2.6%,0.6%,3.4%,--0.1%,0.3%,--7.4%,$393,2.6%,1.8%,7.0%,"$2,600",1.0%,--1.0%,8.3%,$1.86,0.6%,2.1%,5.5%,1.001,--0.2%,0.7%,0.8%,"$2,704",0.1%,0.4%,4.2%,$2.05,0.2%,0.7%,4.4%
Gardena,city,All Homes,"$544,600",--0.0%,1.5%,11.9%,9.9%,2.2%,4.9%,0.3%,0.3%,3.0%,---,---,---,---,4.5%,--4.1%,0.5%,2.7%,$382,0.5%,2.7%,12.4%,---,---,---,---,"$525,000",0.0%,2.9%,10.5%,---,---,---,---,90.6%,--1.0%,--1.6%,--5.9%,---,---,---,---,3.3%,1.1%,--3.9%,--0.1%,3.3%,2.9%,10.7%,10.7%,$371,3.2%,1.1%,8.4%,---,---,---,---,---,---,---,---,1.419,--0.0%,0.7%,--0.5%,"$2,603",0.5%,1.2%,5.9%,$1.96,0.5%,1.5%,6.2%
Gilroy,city,All Homes,"$803,300",1.8%,5.7%,17.0%,12.1%,2.7%,0.4%,--0.5%,--0.8%,--10.0%,---,---,---,---,6.9%,0.7%,1.8%,--4.5%,$426,0.7%,4.2%,15.8%,---,---,---,---,"$799,000",1.3%,0.0%,9.6%,"$733,900",--1.4%,--1.6%,7.5%,99.4%,0.7%,1.5%,22.1%,---,---,---,---,1.9%,0.3%,0.6%,--3.7%,4.5%,--2.2%,3.6%,--7.0%,$361,2.9%,5.4%,8.2%,"$3,000",3.3%,0.7%,--0.2%,$1.83,4.1%,--0.1%,2.6%,0.871,---,---,0.3%,"$3,214",0.2%,0.6%,2.5%,$1.72,0.2%,0.6%,3.2%
Glendale,city,All Homes,"$832,100",0.8%,2.8%,8.9%,8.5%,3.5%,9.8%,--1.7%,--4.8%,0.6%,---,---,---,---,11.4%,3.9%,8.3%,1.9%,$517,0.6%,2.2%,10.2%,4.0%,0.9%,1.5%,0.6%,"$852,500",1.6%,6.7%,13.8%,---,---,---,---,84.9%,2.5%,6.7%,0.3%,---,---,---,---,1.4%,0.5%,--2.2%,--0.5%,3.3%,2.3%,0.6%,--14.6%,$508,1.3%,5.8%,8.4%,"$2,880",2.7%,0.9%,5.5%,$2.18,--2.7%,--4.1%,2.9%,1.437,0.2%,0.7%,0.4%,"$3,215",0.1%,--0.0%,2.0%,$2.09,--0.2%,0.0%,2.8%
