county_name
Alameda
Alpine
Amador
Butte
Calaveras
Colusa
ContraCosta
DelNorte
ElDorado
Fresno
Glenn
Humboldt
Imperial
Inyo
Kern
Kings
Lake
Lassen
LosAngeles
Madera
Marin
Mariposa
Mendocino
Merced
Modoc
Mono
Monterey
Napa
Nevada
Orange
Placer
Plumas
Riverside
Sacramento
SanBenito
SanBernardino
SanDiego
SanFrancisco
SanJoaquin
SanLuisObispo
SanMateo
SantaBarbara
SantaClara
SantaCruz
Shasta
Sierra
Siskiyou
Solano
Sonoma
Stanislaus
Sutter
Tehama
Trinity
Tulare
Tuolumne
Ventura
Yolo
Yuba
